,title,date,url,data_page_datail,cidade,local,tipo_evento
65,Viva Brasil Viva ,04/1991,https://enciclopedia.itaucultural.org.br/evento226645/viva-brasil-viva,04.1991 - 06.1991,Suécia / a definir / Estocolmo , Konstavdelningen och Liljevalchs Konsthall,Viva Brazil Viva 
66,"BR/80: pintura Brasil década 80 (1991 : São Paulo, SP)",28/05/1991,https://enciclopedia.itaucultural.org.br/evento88004/br-80-pintura-brasil-decada-80-1991-sao-paulo-sp,28.05.1991 - 21.06.1991,Brasil / São Paulo / São Paulo ," Itaugaleria (Avenida Brasil, São Paulo, SP)",Exposição
67,Individual de Leonilson,15/10/1991,https://enciclopedia.itaucultural.org.br/evento249254/individual-de-leonilson,15.10.1991 - 05.11.1991,Brasil / São Paulo / São Paulo , Galeria de Arte São Paulo,Individual
68,Artistas Contemporâneos no Engenho Central ,1991,https://enciclopedia.itaucultural.org.br/evento249384/artistas-contemporaneos-no-engenho-central,1991,Brasil / São Paulo / Piracicaba , Engenho Central,Coletiva
69,Individual de Leonilson,1991,https://enciclopedia.itaucultural.org.br/evento249309/individual-de-leonilson,1991,Brasil / Rio de Janeiro / Rio de Janeiro , Thomas Cohn Arte Contemporânea,Individual
70,Instalação Porto 91,1991,https://enciclopedia.itaucultural.org.br/evento264674/instalacao-porto-91,1991,Brasil / Espírito Santo / Vitória ," Porto de Vitória (Vitória, ES)","
            Classificação
            
Exposição

"
71,"Um Olhar Sobre o Figurativo (1992 : São Paulo, SP)",04/02/1992,https://enciclopedia.itaucultural.org.br/evento278789/um-olhar-sobre-o-figurativo-1992-sao-paulo-sp,04.02.1992 - 05.03.1992,Brasil / São Paulo / São Paulo , Casa Triângulo,Coletiva
72,Branco Dominante,07/04/1992,https://enciclopedia.itaucultural.org.br/evento221504/branco-dominante,07.04.1992 - 24.04.1992,Brasil / São Paulo / São Paulo , Galeria de Arte São Paulo,Coletiva
73,Coca-Cola 50 Anos com Arte ,30/04/1992,https://enciclopedia.itaucultural.org.br/evento221401/coca-cola-50-anos-com-arte,30.04.1992 - 17.05.1992,Brasil / Rio de Janeiro / Rio de Janeiro , Museu de Arte Moderna do Rio de Janeiro (MAM/RJ),Coletiva
74,Coca-Cola 50 Anos com Arte ,03/06/1992,https://enciclopedia.itaucultural.org.br/evento221402/coca-cola-50-anos-com-arte,03.06.1992 - 24.06.1992,Brasil / São Paulo / São Paulo , Museu de Arte Moderna de São Paulo (MAM/SP),Coletiva
