ano;local;titulo;destaque
1985;Penápolis SP;6º Salão de Artes Plásticas da Noroeste, na Fundação das Artes de Penápolis
1985;São Paulo SP;16º Panorama da Arte Atual Brasileira, no MAM/SP
1985;São Paulo SP;Destaques da Arte Contemporânea Brasileira, no MAM/SP
1985;São Paulo SP;Tendências do Livro de Artista no Brasil, no CCSP
1986;Fortaleza CE;1ª Exposição Internacional de Esculturas Efêmeras, na Fundação Demócrito Rocha
1986;Fortaleza CE;Esmeraldo/Krajcberg, na Arte Galeria
1986;Fortaleza CE;Imagine: o planeta saúda o cometa, na Arte Galeria
1986;Havana (Cuba);2ª Bienal de Havana
1986;Recife PE;1ª Mostra de Escultura e do Objeto Pernambucano, na Galeria Metropolitana
1987;Rio de Janeiro RJ;A Gravura Brasileira: rumo ao abstracionismo, no MNBA
1987;São Paulo SP;19ª Bienal Internacional de São Paulo, na Fundação Bienal
1988;Campinas SP;13º Salão de Arte Contemporânea de Campinas, no MACC
1988;Polomar (Venezuela);Bienal de Polamar: esculturas efêmeras
1988;São Paulo SP;19º Panorama de Arte Atual Brasileira, no MAM/SP
1988;São Paulo SP;MAC 25 Anos: aquisições e doações recentes, no MAC/USP
1989;Belo Horizonte MG;21º Festival de Inverno da UFMG
1989;Fortaleza CE;10ª Unifor Plástica
1989;Fortaleza CE;Salão de Abril
1989;São Paulo SP;10 Escultores, no Gabinete de Arte Raquel Arnaud
1990;Curitiba PR;9ª Artistas Convidados: litografias, na Casa Romário Martins
1990;Fortaleza CE;41º Salão de Abril, no Centro de Artes Visuais Raimundo Cela;Palácio da Abolição
1991;Fortaleza CE;42º Salão de Abril;prêmio em escultura
1991;Fortaleza CE;Scap: 50 anos, no Imperial Othon Palace Hotel. Salão Juazeiro
1991;São Paulo SP;A Mata, no MAC/USP
1991;São Paulo SP;Homem e Natureza, no MAC/USP
1991;São Paulo SP;Projeto: 100 anos de Paulista, na Casa das Rosas
1992;Belém PA;11º Salão Arte Pará, na Fundação Romulo Maiorana
1992;Brasília DF;43º Salão de Abril, na ECT Galeria de Arte
1992;Curitiba PR;10ª Mostra da Gravura Cidade de Curitiba/Mostra América, no Museu da Gravura
1992;Fortaleza CE;43º Salão de Abril, no Museu de Arte da UFC
1992;Recife PE;43º Salão de Abril, na Galeria Metropolitana de Arte
1992;São Paulo SP;43º Salão de Abril, na Casa das Rosas
1992;São Paulo SP;A Sedução dos Volumes: os tridimensionais do MAC, no MAC/USP
1993;João Pessoa PB;Xilogravura: do cordel à galeria, na Funesc
1993;São Paulo SP;Obras para Ilustração do Suplemento Literário: 1956-1967, no MAM/SP
1994;São Paulo SP;Bienal Brasil Século XX, na Fundação Bienal
1994;São Paulo SP;Xilogravura: do cordel à galeria, no Metrô
1995;Fortaleza CE;D'Aprés Dürer: gravadores cearenses, no Centro Cultural da Abolição
1996;Brasília DF;Arte e Espaço Urbano: quinze propostas, no Ministério das Relações Exteriores. Palácio do Itamaraty
1996;Porto Alegre RS;1ª Sesc Escultura: exposição internacional de esculturas ao ar livre, no Sesc Campestre
1996;Rio de Janeiro RJ;Tendências Construtivas no Acervo do MAC/USP: construção, medida e proporção, no CCBB
1996;São Paulo SP;Ex Libris/Home Page, no Paço das Artes
1997;Rio de Janeiro RJ;AR: exposição de artes plásticas, brinquedos, objetos e maquetes, no Paço Imperial
1997;São Paulo SP;Diversidade da Escultura Contemporânea Brasileira, na Av. Paulista;realização Ministério da Cultura/Itaú Cultural
1997;São Paulo SP;Tridimensionalidade na Arte Brasileira do Século XX, no Itaú Cultural
1998;Belo Horizonte MG;Tridimensionalidade na Arte Brasileira do Século XX, no Itaú Cultural
1998;Brasília DF;Tridimensionalidade na Arte Brasileira do Século XX, na Galeria Itaú Cultural
1998;Penápolis SP;Tridimensionalidade na Arte Brasileira do Século XX, na Galeria Itaú Cultural
1998;Rio de Janeiro RJ;16º Salão Nacional de Artes Plásticas, no MAM/RJ
1998;São Paulo SP;Coleção 98 Skultura, na Skultura Galeria de Arte
1999;Fortaleza CE;50º Salão de Abril, no Centro Cultural da Abolição
1999;Paris (França);Viva Brasil, na Galerie 1900;2000
1999;Rio de Janeiro RJ;Mostra Rio Gravura. Coleção Guita e José Mindlin no Espaço Cultural dos Correios
1999;Rio de Janeiro RJ;Mostra Rio Gravura. Gravura Moderna Brasileira: acervo Museu Nacional de Belas Artes, no MNBA
1999;São Paulo SP;Cotidiano/Arte. A Técnica, no Itaú Cultural
2000;São Paulo SP;Arte Conceitual e Conceitualismos: anos 70 no acervo do MAC/USP, na Galeria de Arte do Sesi
2000;São Paulo SP;Brasil + 500 Anos: Mostra do Redescobrimento, na Fundação Bienal
2000;São Paulo SP;Escultura Brasileira: da Pinacoteca ao Jardim da Luz, na Pinacoteca do Estado
2000;São Paulo SP;Investigações. A Gravura Brasileira, no Itaú Cultural
2001;Brasília DF;Investigações. A Gravura Brasileira, na Galeria Itaú Cultural
2001;Penápolis SP;Investigações. A Gravura Brasileira, na Galeria Itaú Cultural
2002;Fortaleza CE;Ceará Redescobre o, no Centro Dragão do Mar de Arte e Cultura
2002;São Paulo SP;Quem Faz as Bienais, na Galeria Múltipla de Arte
2003;Rio de Janeiro RJ;Projeto Brazilianart, na Almacén Galeria de Arte
2004;São Paulo SP;Gesto e Expressão: o abstracionismo informal nas coleções JP Morgan Chase e MAM, no MAM/SP
